,domain,entity_id,state,last_changed,attributes,entity_name,device_class,unit_of_measurement,friendly_name
0,sensor,sensor.garden_sensor_light_level,1992.05,2019-12-31 10:51:43.033791,"{'battery_level': 100, 'lightlevel': 32994, 'daylight': True, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Garden sensor light level', 'device_class': 'illuminance'}",garden_sensor_light_level,illuminance,lx,Garden sensor light level
1,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-31 10:51:31.032904,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
2,sensor,sensor.next_train_to_wat,54.0,2019-12-31 10:51:26.467864,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '11:45', 'estimated': '11:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '12:45', 'estimated': '12:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
3,binary_sensor,binary_sensor.office_sensor_motion,1.0,2019-12-31 10:51:25.031893,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
5,sensor,sensor.garden_sensor_temperature,6.88,2019-12-31 10:50:55.041461,"{'battery_level': 100, 'unit_of_measurement': '°C', 'friendly_name': 'Garden sensor temperature', 'device_class': 'temperature'}",garden_sensor_temperature,temperature,°C,Garden sensor temperature
6,sensor,sensor.living_room_sensor_light_level,14.33,2019-12-31 10:50:55.037578,"{'battery_level': 61, 'lightlevel': 11563, 'daylight': False, 'dark': True, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Living room sensor light level', 'device_class': 'illuminance'}",living_room_sensor_light_level,illuminance,lx,Living room sensor light level
7,sensor,sensor.speedtest_download,35.11,2019-12-31 10:50:20.949934,"{'unit_of_measurement': 'Mbit/s', 'friendly_name': 'Speedtest Download', 'icon': 'mdi:speedometer'}",speedtest_download,unknown,Mbit/s,Speedtest Download
8,sensor,sensor.speedtest_ping,11.995,2019-12-31 10:50:20.943483,"{'unit_of_measurement': 'ms', 'friendly_name': 'Speedtest Ping', 'icon': 'mdi:speedometer'}",speedtest_ping,unknown,ms,Speedtest Ping
9,sensor,sensor.speedtest_upload,9.35,2019-12-31 10:50:20.937360,"{'unit_of_measurement': 'Mbit/s', 'friendly_name': 'Speedtest Upload', 'icon': 'mdi:speedometer'}",speedtest_upload,unknown,Mbit/s,Speedtest Upload
10,sensor,sensor.netatmo_master_bedroom_noise,36.0,2019-12-31 10:50:14.489537,"{'unit_of_measurement': 'dB', 'friendly_name': 'netatmo Master Bedroom Noise', 'icon': 'mdi:volume-high'}",netatmo_master_bedroom_noise,unknown,dB,netatmo Master Bedroom Noise
11,sensor,sensor.netatmo_master_bedroom_co2,679.0,2019-12-31 10:50:14.486004,"{'unit_of_measurement': 'ppm', 'friendly_name': 'netatmo Master Bedroom CO2', 'icon': 'mdi:periodic-table-co2'}",netatmo_master_bedroom_co2,unknown,ppm,netatmo Master Bedroom CO2
12,sensor,sensor.netatmo_master_bedroom_pressure,1032.5,2019-12-31 10:50:14.475465,"{'unit_of_measurement': 'mbar', 'friendly_name': 'netatmo Master Bedroom Pressure', 'icon': 'mdi:gauge'}",netatmo_master_bedroom_pressure,unknown,mbar,netatmo Master Bedroom Pressure
13,sensor,sensor.hue_front_porch_sensor_light_level,435.51,2019-12-31 10:50:07.033700,"{'battery_level': 100, 'lightlevel': 26391, 'daylight': True, 'dark': False, 'threshold_dark': 16758, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Hue front porch sensor light level', 'device_class': 'illuminance'}",hue_front_porch_sensor_light_level,illuminance,lx,Hue front porch sensor light level
15,sensor,sensor.hue_motion_sensor_1_light_level,93.45,2019-12-31 10:49:55.035212,"{'battery_level': 100, 'lightlevel': 19707, 'daylight': False, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Downstairs hallway light level', 'device_class': 'illuminance'}",hue_motion_sensor_1_light_level,illuminance,lx,Downstairs hallway light level
16,sensor,sensor.next_train_to_wat,56.0,2019-12-31 10:49:53.467606,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '11:45', 'estimated': '11:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '12:45', 'estimated': '12:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
17,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-31 10:49:19.033319,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
18,binary_sensor,binary_sensor.office_sensor_motion,1.0,2019-12-31 10:49:01.042247,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
20,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-31 10:48:55.032416,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
21,binary_sensor,binary_sensor.office_sensor_motion,1.0,2019-12-31 10:48:43.032680,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
22,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-31 10:48:31.032296,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
23,sensor,sensor.next_train_to_wat,57.0,2019-12-31 10:48:20.422385,"{'station_code': 'MAL', 'calling_at': 'WAT', 'next_trains': [{'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '11:45', 'estimated': '11:45', 'platform': None, 'operator_name': 'South Western Railway'}, {'origin_name': 'Chessington South', 'destination_name': 'London Waterloo', 'status': 'ON TIME', 'scheduled': '12:45', 'estimated': '12:45', 'platform': None, 'operator_name': 'South Western Railway'}], 'unit_of_measurement': 'min', 'friendly_name': 'Next train to WAT', 'icon': 'mdi:train'}",next_train_to_wat,unknown,min,Next train to WAT
24,binary_sensor,binary_sensor.office_sensor_motion,1.0,2019-12-31 10:48:19.031919,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
26,sensor,sensor.hue_motion_sensor_1_temperature,12.34,2019-12-31 10:47:49.037399,"{'battery_level': 100, 'unit_of_measurement': '°C', 'friendly_name': 'Downstairs hallway temperature', 'device_class': 'temperature'}",hue_motion_sensor_1_temperature,temperature,°C,Downstairs hallway temperature
27,sensor,sensor.office_sensor_light_level,103.04,2019-12-31 10:47:31.033342,"{'battery_level': 53, 'lightlevel': 20131, 'daylight': False, 'dark': False, 'threshold_dark': 16000, 'threshold_offset': 7000, 'unit_of_measurement': 'lx', 'friendly_name': 'Office sensor light level', 'device_class': 'illuminance'}",office_sensor_light_level,illuminance,lx,Office sensor light level
28,binary_sensor,binary_sensor.office_sensor_motion,0.0,2019-12-31 10:47:07.033061,"{'battery_level': 53, 'sensitivity': 2, 'sensitivity_max': 2, 'friendly_name': 'Office sensor motion', 'device_class': 'motion'}",office_sensor_motion,motion,unknown,Office sensor motion
