,timeStamp,sales,transactions
0,2012-12-31 00:00:00,2922.13,459
1,2013-01-01 00:00:00,1500.56,195
2,2013-01-02 00:00:00,4078.52,696
3,2013-01-03 00:00:00,4545.69,743
4,2013-01-04 00:00:00,4872.63,797
5,2013-01-05 00:00:00,2420.81,367
6,2013-01-06 00:00:00,1664.22,241
7,2013-01-07 00:00:00,3693.01,647
8,2013-01-08 00:00:00,3874.89,653
9,2013-01-09 00:00:00,4134.05,700
10,2013-01-10 00:00:00,4314.94,723
11,2013-01-11 00:00:00,4496.14,748
12,2013-01-12 00:00:00,2740.33,398
13,2013-01-13 00:00:00,1846.68,249
14,2013-01-14 00:00:00,3616.45,626
15,2013-01-15 00:00:00,4020.65,680
16,2013-01-16 00:00:00,4099.88,683
17,2013-01-17 00:00:00,4065.37,676
18,2013-01-18 00:00:00,4431.18,726
19,2013-01-19 00:00:00,2887.87,435
20,2013-01-20 00:00:00,1921.48,264
21,2013-01-21 00:00:00,3707.65,595
22,2013-01-22 00:00:00,3769.16,650
23,2013-01-23 00:00:00,3779.63,652
24,2013-01-24 00:00:00,4019.81,679
25,2013-01-25 00:00:00,4466.81,693
26,2013-01-26 00:00:00,2283.9,380
27,2013-01-27 00:00:00,1651.64,209
28,2013-01-28 00:00:00,3750.09,664
29,2013-01-29 00:00:00,3763.9,647
30,2013-01-30 00:00:00,3829.86,658
31,2013-01-31 00:00:00,4048.87,679
32,2013-02-01 00:00:00,4620.87,741
33,2013-02-02 00:00:00,2391.95,356
34,2013-02-03 00:00:00,1464.4,219
35,2013-02-04 00:00:00,3744.93,668
36,2013-02-05 00:00:00,3585.95,631
37,2013-02-06 00:00:00,3830.83,662
38,2013-02-07 00:00:00,4118.86,710
39,2013-02-08 00:00:00,4507.49,735
40,2013-02-09 00:00:00,2744.04,419
41,2013-02-10 00:00:00,1789.46,270
42,2013-02-11 00:00:00,3634.34,645
43,2013-02-12 00:00:00,3487.91,625
44,2013-02-13 00:00:00,4074.2,689
45,2013-02-14 00:00:00,3870.37,671
46,2013-02-15 00:00:00,4405.81,714
47,2013-02-16 00:00:00,2765.56,404
48,2013-02-17 00:00:00,2270.54,311
49,2013-02-18 00:00:00,4066.6,652
50,2013-02-19 00:00:00,4054.08,681
51,2013-02-20 00:00:00,4041.67,689
52,2013-02-21 00:00:00,4377.28,704
53,2013-02-22 00:00:00,3971.38,662
54,2013-02-23 00:00:00,2860.42,429
55,2013-02-24 00:00:00,1819.14,253
56,2013-02-25 00:00:00,3687.5,657
57,2013-02-26 00:00:00,4163.08,680
58,2013-02-27 00:00:00,4039.02,683
59,2013-02-28 00:00:00,4465.99,719
60,2013-03-01 00:00:00,4486.57,736
61,2013-03-02 00:00:00,2732.52,392
62,2013-03-03 00:00:00,2382.59,329
63,2013-03-04 00:00:00,3761.05,664
64,2013-03-05 00:00:00,3639.29,595
65,2013-03-06 00:00:00,3865.46,656
66,2013-03-07 00:00:00,3981.61,649
67,2013-03-08 00:00:00,4476.96,735
68,2013-03-09 00:00:00,2773.67,390
69,2013-03-10 00:00:00,2107.24,302
70,2013-03-11 00:00:00,3810.39,652
71,2013-03-12 00:00:00,4025.35,668
72,2013-03-13 00:00:00,3899.16,649
73,2013-03-14 00:00:00,4320.32,699
74,2013-03-15 00:00:00,4365.99,726
75,2013-03-16 00:00:00,2482.89,359
76,2013-03-17 00:00:00,2055.47,306
77,2013-03-18 00:00:00,3682.68,638
78,2013-03-19 00:00:00,3952.16,651
79,2013-03-20 00:00:00,3892.67,653
80,2013-03-21 00:00:00,3852.44,620
81,2013-03-22 00:00:00,4299.0,713
82,2013-03-23 00:00:00,2627.02,398
83,2013-03-24 00:00:00,1529.16,208
84,2013-03-25 00:00:00,3297.53,529
85,2013-03-26 00:00:00,3852.82,648
86,2013-03-27 00:00:00,3839.34,663
87,2013-03-28 00:00:00,4228.02,679
88,2013-03-29 00:00:00,4333.05,691
89,2013-03-30 00:00:00,2878.65,422
90,2013-03-31 00:00:00,1062.79,170
91,2013-04-01 00:00:00,3814.02,620
92,2013-04-02 00:00:00,4018.17,667
93,2013-04-03 00:00:00,4178.43,720
94,2013-04-04 00:00:00,3916.32,650
95,2013-04-05 00:00:00,4660.07,744
96,2013-04-06 00:00:00,2618.58,375
97,2013-04-07 00:00:00,1880.87,271
98,2013-04-08 00:00:00,3649.84,661
99,2013-04-09 00:00:00,4071.58,669
100,2013-04-10 00:00:00,4275.46,716
101,2013-04-11 00:00:00,4274.46,728
102,2013-04-12 00:00:00,4764.67,762
103,2013-04-13 00:00:00,2910.77,446
104,2013-04-14 00:00:00,2370.27,314
105,2013-04-15 00:00:00,4158.76,717
106,2013-04-16 00:00:00,4037.42,699
107,2013-04-17 00:00:00,4034.92,709
108,2013-04-18 00:00:00,4104.79,682
109,2013-04-19 00:00:00,5175.02,830
110,2013-04-20 00:00:00,2665.88,392
111,2013-04-21 00:00:00,2134.01,303
112,2013-04-22 00:00:00,3797.45,687
113,2013-04-23 00:00:00,4233.32,736
114,2013-04-24 00:00:00,4197.3,709
115,2013-04-25 00:00:00,4503.29,746
116,2013-04-26 00:00:00,5034.26,833
117,2013-04-27 00:00:00,3009.04,455
118,2013-04-28 00:00:00,1905.56,284
119,2013-04-29 00:00:00,3735.48,557
120,2013-04-30 00:00:00,4168.08,846
121,2013-05-01 00:00:00,4453.79,745
122,2013-05-02 00:00:00,4750.82,797
123,2013-05-03 00:00:00,4906.63,812
124,2013-05-04 00:00:00,3109.38,437
125,2013-05-05 00:00:00,2274.23,326
126,2013-05-06 00:00:00,3984.74,672
127,2013-05-07 00:00:00,4381.69,739
128,2013-05-08 00:00:00,4039.25,706
129,2013-05-09 00:00:00,4337.61,730
130,2013-05-10 00:00:00,4798.64,803
131,2013-05-11 00:00:00,2915.63,431
132,2013-05-12 00:00:00,1818.24,275
133,2013-05-13 00:00:00,4023.68,715
134,2013-05-14 00:00:00,3990.0,694
135,2013-05-15 00:00:00,4738.42,786
136,2013-05-16 00:00:00,4576.64,776
137,2013-05-17 00:00:00,4432.92,732
138,2013-05-18 00:00:00,2796.64,413
139,2013-05-19 00:00:00,2441.99,369
140,2013-05-20 00:00:00,4441.85,761
141,2013-05-21 00:00:00,4383.9,762
142,2013-05-22 00:00:00,4281.12,695
143,2013-05-23 00:00:00,4638.71,781
144,2013-05-24 00:00:00,4531.68,727
145,2013-05-25 00:00:00,2765.14,413
146,2013-05-26 00:00:00,2099.7,290
147,2013-05-27 00:00:00,1669.73,245
148,2013-05-28 00:00:00,4123.02,739
149,2013-05-29 00:00:00,4484.53,766
150,2013-05-30 00:00:00,4698.55,790
151,2013-05-31 00:00:00,5046.45,818
152,2013-06-01 00:00:00,3074.2,456
153,2013-06-02 00:00:00,1923.98,284
154,2013-06-03 00:00:00,4248.5,744
155,2013-06-04 00:00:00,4524.04,743
156,2013-06-05 00:00:00,5102.7,816
157,2013-06-06 00:00:00,4573.2,751
158,2013-06-07 00:00:00,5138.2,785
159,2013-06-08 00:00:00,2614.1,397
160,2013-06-09 00:00:00,2258.98,317
161,2013-06-10 00:00:00,4510.18,779
162,2013-06-11 00:00:00,4807.48,755
163,2013-06-12 00:00:00,4631.8,796
164,2013-06-13 00:00:00,4965.41,775
165,2013-06-14 00:00:00,5188.91,832
166,2013-06-15 00:00:00,3044.38,435
167,2013-06-16 00:00:00,1539.62,246
168,2013-06-17 00:00:00,4094.15,697
169,2013-06-18 00:00:00,4656.97,748
170,2013-06-19 00:00:00,4805.51,787
171,2013-06-20 00:00:00,4333.18,752
172,2013-06-21 00:00:00,5563.28,860
173,2013-06-22 00:00:00,2888.35,424
174,2013-06-23 00:00:00,2101.56,288
175,2013-06-24 00:00:00,4692.93,753
176,2013-06-25 00:00:00,4811.36,793
177,2013-06-26 00:00:00,4601.78,745
178,2013-06-27 00:00:00,4715.71,733
179,2013-06-28 00:00:00,5081.69,805
180,2013-06-29 00:00:00,2901.48,408
181,2013-06-30 00:00:00,2192.75,325
182,2013-07-01 00:00:00,4596.38,750
183,2013-07-02 00:00:00,4359.13,736
184,2013-07-03 00:00:00,4921.69,795
185,2013-07-04 00:00:00,1824.78,256
186,2013-07-05 00:00:00,3949.34,616
187,2013-07-06 00:00:00,2889.11,385
188,2013-07-07 00:00:00,2014.45,275
189,2013-07-08 00:00:00,4038.6,686
190,2013-07-09 00:00:00,4579.76,751
191,2013-07-10 00:00:00,5094.96,773
192,2013-07-11 00:00:00,5177.39,825
193,2013-07-12 00:00:00,5606.21,836
194,2013-07-13 00:00:00,2847.59,419
195,2013-07-14 00:00:00,2134.61,307
196,2013-07-15 00:00:00,4731.32,773
197,2013-07-16 00:00:00,4647.07,734
198,2013-07-17 00:00:00,4700.8,750
199,2013-07-18 00:00:00,5026.0,786
200,2013-07-19 00:00:00,5489.64,811
201,2013-07-20 00:00:00,3173.63,428
202,2013-07-21 00:00:00,2087.53,302
203,2013-07-22 00:00:00,4363.04,725
204,2013-07-23 00:00:00,4850.12,787
205,2013-07-24 00:00:00,4781.47,748
206,2013-07-25 00:00:00,4999.47,767
207,2013-07-26 00:00:00,5005.35,782
208,2013-07-27 00:00:00,2295.88,351
209,2013-07-28 00:00:00,1951.3,279
210,2013-07-29 00:00:00,4699.86,770
211,2013-07-30 00:00:00,4877.21,809
212,2013-07-31 00:00:00,4594.7,761
213,2013-08-01 00:00:00,5312.63,865
214,2013-08-02 00:00:00,5239.44,834
215,2013-08-03 00:00:00,2954.04,434
216,2013-08-04 00:00:00,2167.02,308
217,2013-08-05 00:00:00,4979.17,810
218,2013-08-06 00:00:00,4652.59,757
219,2013-08-07 00:00:00,4983.08,813
220,2013-08-08 00:00:00,4744.99,760
221,2013-08-09 00:00:00,5093.06,826
222,2013-08-10 00:00:00,3261.02,452
223,2013-08-11 00:00:00,2041.56,288
224,2013-08-12 00:00:00,4582.07,763
225,2013-08-13 00:00:00,4620.94,761
226,2013-08-14 00:00:00,4435.3,744
227,2013-08-15 00:00:00,4698.13,751
228,2013-08-16 00:00:00,5166.15,840
229,2013-08-17 00:00:00,2693.88,399
230,2013-08-18 00:00:00,2295.75,306
231,2013-08-19 00:00:00,3989.67,702
232,2013-08-20 00:00:00,4611.7,789
233,2013-08-21 00:00:00,4549.83,765
234,2013-08-22 00:00:00,4854.0,772
235,2013-08-23 00:00:00,5074.83,827
236,2013-08-24 00:00:00,3060.25,452
237,2013-08-25 00:00:00,2114.61,288
