0,1,2,3,4,5,6
Scan Type:,Crossline,Crossline,Crossline,Inline,Inline,Inline
Radiation Type:,Photons,Photons,Photons,Photons,Photons,Photons
Energy:,6 MV,6 MV,6 MV,6 MV,6 MV,6 MV
Fieldsize:,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm,60 x 60 mm
Depth:,15.0 mm,100.0 mm,350.0 mm,15.0 mm,100.0 mm,350.0 mm
,Color [MediumVioletRed],Color [Orange],Color [DeepPink],Color [SlateBlue],Color [Teal],Color [Blue]
Coordinate [mm]:,,,,,,
-90,,,1.3,,,1.3
-89,,,1.2,,,1.3
-88,,,1.2,,,1.2
-87,,,1.2,,,1.3
-86,,,1.4,,,1.3
-85,,,1.4,,,1.4
-84,,,1.4,,,1.5
-83,,,1.4,,1.7,1.4
-82,,1.7,1.4,,1.8,1.4
-81,,1.6,1.9,,2,1.6
-80,1.1,1.6,1.5,1.8,2.1,1.5
-79,1.1,1.7,1.5,1.9,2,1.8
-78,1.3,1.8,1.5,1.8,2.1,1.6
-77,1.3,1.8,1.5,1.9,2.3,1.7
-76,1.2,1.9,1.6,1.9,2.2,1.8
-75,1.4,2.1,1.7,2,2.1,1.8
-74,1.4,2.1,1.7,2.1,2.3,1.7
-73,1.5,2.2,1.7,2.1,2.4,1.8
-72,1.6,2.1,1.6,2.1,2.5,1.8
-71,1.4,2.1,1.5,2.2,2.6,1.9
-70,1.6,2.3,1.5,2.2,2.4,2
-69,1.6,2.4,1.7,2.3,2.6,1.9
-68,1.6,2.3,1.7,2.4,2.7,2
-67,1.6,2.5,1.7,2.4,2.6,2
-66,1.7,2.5,1.8,2.4,2.6,2
-65,1.8,2.6,1.8,2.4,2.8,2
-64,1.8,2.7,1.5,2.7,2.8,2.1
-63,1.5,2.7,2,2.5,3.1,2.1
-62,1.5,2.8,2.1,2.7,3.1,2
-61,1.8,2.7,2.1,2.9,3.2,2.2
-60,2.1,2.8,2.1,3,3.4,2.1
-59,1.9,3,1.8,3,3.6,2
-58,1.9,3.1,2,2.8,3.4,2.1
-57,2,3.3,2.3,2.9,3.7,2.2
-56,2.1,3.4,2.3,3,3.7,2.3
-55,2.3,3.6,2.2,3.3,3.9,2.3
-54,2.5,3.7,2.2,3.6,4.3,2.5
-53,2.4,3.8,2.4,3.4,4.3,2.6
-52,2.4,3.9,2.4,3.5,4.4,2.5
-51,2.6,4,2.5,3.7,4.6,2.6
-50,2.7,4.3,2.5,3.8,4.8,2.7
-49,2.9,4.4,2.5,3.8,4.8,2.8
-48,3.1,4.5,2.8,3.8,4.9,2.8
-47,3.1,4.7,3.1,4.1,5.1,2.9
-46,3.3,4.8,3.1,4.2,5.4,3.3
-45,3.4,5.1,3.2,4.5,5.6,3.5
-44,3.4,5.2,3.6,4.5,5.8,3.9
-43,3.4,5.4,4.1,4.4,6.2,4.3
-42,3.8,5.8,4.9,4.8,6.6,5.3
-41,4,6.3,6.9,4.9,6.7,7
-40,4.2,6.7,9.1,4.9,7.2,8.8
-39,4.4,7.3,11.5,5.4,7.9,11.2
-38,4.8,8.1,13.6,5.9,8.7,13.7
-37,5.4,9.1,15.1,6.3,9.9,15.3
-36,6,10.6,16,7.1,12,16.3
-35,7.3,13.6,16.3,8.5,15.3,16.9
-34,9,20.3,16.7,10.7,22.3,16.9
