iter	Logloss
0	0.6844616695
1	0.6762563817
2	0.6690367018
3	0.6614535069
4	0.654472409
5	0.6478274382
6	0.6427529495
7	0.6352457526
8	0.6285523068
9	0.6246900241
10	0.620953254
11	0.6156562603
12	0.6089425638
13	0.6040974102
14	0.5992191207
15	0.5945514405
16	0.5898361818
17	0.5849181174
18	0.5817263082
19	0.5776849581
20	0.5737270385
21	0.5691850782
22	0.5647140937
23	0.5609487578
24	0.557296029
25	0.5538883669
26	0.5507201451
27	0.5475219974
28	0.5438215827
29	0.5408775835
30	0.5379536636
31	0.534978902
32	0.533330077
33	0.5308360346
34	0.5280495809
35	0.525142588
36	0.522213406
37	0.5196793656
38	0.5182531089
39	0.5161934037
40	0.5139994542
41	0.5117294208
42	0.5098878017
43	0.5074359142
44	0.5044676595
45	0.5034472345
46	0.5024596408
47	0.5007141351
48	0.4986813545
49	0.4971803264
50	0.4953456608
51	0.4945218625
52	0.4920010747
53	0.4910168913
54	0.4889537222
55	0.4866773459
56	0.4855283142
57	0.4847490405
58	0.484098862
59	0.4834692118
60	0.4822490529
61	0.4806024972
62	0.4795860481
63	0.4787347777
64	0.4779211683
65	0.4762253869
66	0.4746969022
67	0.4737424797
68	0.4734634818
69	0.4711714967
70	0.4706311279
71	0.4702012854
72	0.4696733377
73	0.468919633
74	0.4684641553
75	0.4680793372
76	0.4668770483
77	0.466230325
78	0.4643267002
79	0.4638339507
80	0.4631393674
81	0.4623401233
82	0.4617255864
83	0.4615303694
84	0.4607593642
85	0.4605698323
86	0.4598131533
87	0.4591533812
88	0.4588841712
89	0.4586236365
90	0.4577541119
91	0.4574660001
92	0.4561273269
93	0.4555455962
94	0.4552133899
95	0.4538031544
96	0.4530108467
97	0.4529621549
98	0.4528051932
99	0.4519494491
100	0.451699916
101	0.4516596029
102	0.4515988411
103	0.4499997404
104	0.4499484234
105	0.4492275601
106	0.4490595415
107	0.4488611861
108	0.4487452602
109	0.4485634767
110	0.4470838384
111	0.4465359501
112	0.4460117448
113	0.4455776283
114	0.4454782281
115	0.4449453108
116	0.4446985776
117	0.4442945546
118	0.4431614037
119	0.4430661105
120	0.4427745126
121	0.4426325824
122	0.4423804428
123	0.4421781592
124	0.4413811927
125	0.4413023852
126	0.4410530186
127	0.4409794466
