iter	Passed	Remaining
0	82	81952
1	94	47042
2	100	33248
3	111	27788
4	119	23757
5	128	21228
6	139	19774
7	148	18442
8	158	17405
9	169	16785
10	177	15960
11	186	15335
12	199	15169
13	207	14601
14	216	14207
15	224	13791
16	235	13624
17	251	13717
18	260	13428
19	269	13185
20	276	12893
21	290	12899
22	299	12739
23	307	12496
24	315	12291
25	326	12220
26	332	11994
27	341	11852
28	350	11719
29	359	11627
30	370	11578
31	389	11776
32	397	11652
33	405	11515
34	413	11412
35	425	11388
36	436	11356
37	445	11281
38	452	11153
39	466	11186
40	482	11285
41	498	11359
42	505	11254
43	512	11139
44	524	11131
45	530	10994
46	535	10865
47	544	10794
48	556	10796
49	564	10724
50	575	10709
51	580	10590
52	595	10640
53	605	10609
54	619	10641
55	629	10617
56	639	10579
57	650	10567
58	656	10466
59	660	10352
60	669	10308
61	678	10265
62	689	10257
63	695	10175
64	705	10148
65	719	10179
66	727	10133
67	736	10090
68	743	10037
69	753	10009
70	761	9962
71	764	9857
72	775	9852
73	783	9809
74	792	9777
75	796	9685
76	814	9761
77	824	9744
78	836	9748
79	846	9731
80	853	9682
81	863	9666
82	873	9645
83	877	9566
84	886	9543
85	891	9479
86	901	9463
87	912	9456
88	922	9440
89	928	9384
90	938	9370
91	945	9334
92	964	9402
93	973	9386
94	986	9399
95	995	9370
96	1004	9352
97	1010	9303
98	1015	9239
99	1024	9216
100	1031	9185
101	1038	9140
102	1041	9073
103	1052	9070
104	1059	9034
105	1071	9032
106	1079	9005
107	1085	8968
108	1090	8914
109	1097	8881
110	1108	8880
111	1119	8872
112	1131	8884
113	1140	8866
114	1148	8837
115	1158	8831
116	1170	8836
117	1179	8819
118	1189	8804
119	1201	8813
120	1211	8798
121	1216	8756
122	1227	8749
123	1234	8720
124	1245	8718
125	1252	8690
126	1261	8668
127	1268	8640
128	1275	8612
129	1281	8577
130	1290	8559
131	1302	8562
132	1311	8549
133	1322	8543
134	1330	8523
135	1336	8489
136	1344	8468
137	1358	8485
138	1365	8459
139	1371	8424
140	1380	8413
141	1386	8377
142	1396	8366
143	1401	8328
144	1411	8323
145	1421	8315
146	1430	8303
147	1440	8289
148	1446	8264
149	1458	8267
150	1468	8258
151	1478	8247
152	1492	8263
153	1505	8271
154	1517	8273
155	1530	8281
156	1543	8287
157	1556	8296
158	1565	8282
159	1576	8278
160	1584	8257
161	1596	8256
162	1605	8242
163	1620	8258
164	1634	8272
165	1647	8278
166	1660	8282
167	1670	8273
168	1685	8289
169	1707	8337
170	1721	8347
171	1736	8360
172	1750	8368
173	1764	8378
174	1777	8381
175	1790	8382
176	1805	8396
177	1826	8434
