aX,aY,aZ,gX,gY,gZ
-0.104,-0.477,0.922,5.310,-70.740,-48.584
-0.146,-0.470,0.873,-4.578,0.977,-8.057
-0.159,-0.480,0.867,-5.066,12.085,0.916
-0.110,-0.476,0.846,-4.028,8.606,-0.366
-0.086,-0.454,0.847,-3.113,6.226,0.061
-0.079,-0.475,0.848,0.000,2.808,-0.366
-0.094,-0.460,0.862,1.282,-0.427,-1.587
-0.104,-0.458,0.862,1.282,-0.916,-1.587
-0.117,-0.470,0.865,2.625,-0.488,-1.831
-0.129,-0.473,0.857,2.930,-0.244,-1.648
-0.117,-0.465,0.845,3.357,-1.160,-1.343
-0.127,-0.464,0.853,3.540,-3.967,-1.099
-0.146,-0.471,0.864,2.991,-7.202,-1.038
-0.144,-0.465,0.872,2.136,-7.935,-0.610
-0.134,-0.473,0.875,2.136,-6.409,-0.061
-0.125,-0.467,0.865,2.197,-4.089,-0.122
-0.115,-0.469,0.859,2.380,-1.892,-0.183
-0.116,-0.471,0.862,2.197,-0.916,-0.305
-0.110,-0.471,0.858,1.526,-0.671,-0.610
-0.114,-0.469,0.859,0.916,-0.854,-0.916
-0.117,-0.467,0.853,0.122,-0.671,-1.160
-0.127,-0.461,0.847,-0.854,-0.610,-1.465
-0.142,-0.458,0.827,-1.160,-0.366,-1.160
-0.142,-0.456,0.827,-0.366,-0.793,-0.732
-0.142,-0.463,0.843,-0.061,-1.526,-0.183
-0.148,-0.467,0.866,-0.366,-2.441,0.305
-0.141,-0.474,0.868,-0.793,-2.197,0.916
-0.120,-0.469,0.874,-0.854,-1.221,1.282
-0.121,-0.476,0.884,-0.732,-0.671,1.160
-0.110,-0.467,0.868,-0.732,0.427,1.038
-0.106,-0.460,0.863,0.000,0.549,0.427
-0.113,-0.465,0.865,0.671,0.183,0.000
-0.123,-0.465,0.865,0.366,0.610,-0.244
-0.120,-0.464,0.861,-0.122,2.319,0.000
-0.122,-0.464,0.859,0.000,2.319,0.183
-0.135,-0.466,0.857,0.183,0.916,0.000
-0.124,-0.464,0.844,0.854,0.000,0.061
-0.108,-0.459,0.846,1.648,-1.404,-0.061
-0.118,-0.467,0.850,1.831,-3.784,-0.427
-0.125,-0.468,0.855,2.014,-5.859,-0.671
