aX,aY,aZ,gX,gY,gZ
0.075,0.053,1.035,3.540,-35.339,-27.466
-0.020,0.045,1.041,17.395,9.399,-3.418
-0.080,0.031,1.091,40.344,10.620,4.395
-0.120,0.004,1.046,65.369,6.165,12.512
-0.108,-0.024,0.926,86.853,6.165,23.071
-0.048,-0.046,0.789,88.501,6.470,29.968
0.069,-0.007,0.812,63.965,5.554,32.837
0.124,0.054,0.903,35.889,3.113,29.541
0.025,-0.058,0.969,22.461,-0.977,22.705
-0.060,-0.219,0.936,17.456,-1.404,17.517
-0.066,-0.252,0.859,8.606,-3.113,8.911
-0.056,-0.218,0.892,-9.583,-7.874,0.244
-0.014,-0.233,0.874,-25.330,-10.864,-6.592
-0.014,-0.253,0.889,-40.710,-14.526,-10.925
0.057,-0.220,1.098,-53.528,-18.982,-16.846
-0.022,-0.304,1.158,-42.664,-15.991,-26.306
-0.040,-0.238,0.992,-24.353,-7.568,-36.926
-0.019,-0.184,0.915,-21.423,-7.019,-47.913
0.007,-0.094,0.899,-30.151,-11.658,-54.626
0.196,-0.196,0.349,-54.260,-9.705,-56.702
-0.003,0.676,1.747,-115.295,-20.569,-58.167
0.031,0.269,0.938,-21.118,-2.441,-46.448
-0.006,0.251,0.929,-11.902,-3.967,-22.705
-0.006,0.267,0.908,3.113,1.465,-2.319
-0.028,0.011,0.984,17.761,-4.333,2.502
-0.026,-0.005,0.986,20.935,-3.113,0.671
-0.035,-0.061,1.028,16.418,-3.479,0.427
-0.027,-0.070,1.044,2.075,-1.709,0.427
-0.025,-0.001,0.991,-19.287,0.671,1.831
-0.022,0.049,0.944,-25.391,1.099,2.014
-0.026,0.058,0.904,-18.311,1.282,1.526
-0.025,0.049,0.922,-4.211,-0.671,0.305
-0.025,0.010,0.976,7.629,-2.563,-0.732
-0.027,-0.020,1.005,9.155,-2.502,-0.732
-0.025,-0.005,0.995,1.709,-1.648,-0.305
-0.024,0.024,0.957,-4.211,-1.099,0.305
-0.024,0.033,0.944,-2.625,-1.221,0.183
-0.025,0.020,0.961,3.357,-2.014,-0.427
0.013,0.067,0.984,5.737,-1.648,0.366
-0.032,0.041,0.995,2.014,-0.183,-0.793
0.001,0.118,0.973,-2.991,-0.854,-5.615
-0.009,0.269,0.968,-4.272,-1.526,-6.409
-0.050,0.223,0.949,-5.188,-1.953,-18.677
-0.091,-0.437,1.030,-2.625,-2.625,-31.616
0.005,-0.454,1.090,-6.714,-2.075,-27.222
-0.008,-0.563,0.876,-18.982,-0.061,-10.498
0.088,-0.345,0.819,-6.409,-0.366,-5.005
-0.077,0.352,1.012,17.944,-2.014,25.452
-0.233,0.703,1.046,20.508,-2.808,40.161
0.046,0.144,0.899,-0.061,-6.042,16.174
0.024,0.155,1.008,-2.869,-7.874,11.292
0.003,0.104,0.992,-1.587,-7.751,11.414
-0.023,0.162,0.994,-8.423,-3.662,7.629
0.000,0.173,1.002,-12.695,-5.127,4.700
-0.054,0.185,1.090,-13.977,-12.390,0.427
-0.081,0.111,1.064,-9.399,-6.958,-0.549
-0.150,-0.094,1.109,-3.479,5.249,1.282
0.038,0.117,0.918,1.587,10.193,-0.122
0.039,0.051,0.981,11.292,2.258,-4.822
-0.010,0.042,1.048,12.939,-1.709,-13.428
-0.067,0.046,1.082,15.015,-5.615,-23.193
