aX,aY,aZ,gX,gY,gZ
-0.218,-0.370,2.201,126.343,-1.404,-58.044
-0.076,-0.057,2.112,60.791,41.748,-63.293
-0.196,0.003,1.959,-2.563,78.125,-99.182
-0.112,-0.212,1.565,-70.496,100.708,-151.917
0.696,-0.683,0.453,-98.999,89.478,-175.293
0.884,-0.715,0.795,-6.958,20.325,-124.512
0.278,-0.373,1.635,111.084,-48.157,-57.617
0.228,-0.334,1.596,169.861,-44.617,-27.405
0.491,-0.369,1.303,189.392,-18.677,-22.888
0.342,-0.357,1.404,184.998,-46.753,-26.367
0.197,-0.332,1.433,182.861,-69.458,-28.687
0.167,-0.425,1.278,192.505,-64.453,-34.302
0.176,-0.519,1.049,197.571,-54.260,-43.274
0.139,-0.511,0.892,190.674,-53.284,-53.345
0.058,-0.334,0.805,180.481,-56.335,-60.974
-0.022,-0.205,0.713,171.387,-57.007,-58.777
-0.044,-0.167,0.645,159.973,-52.612,-51.575
-0.056,-0.047,0.707,150.024,-43.396,-45.654
-0.077,-0.123,0.730,143.921,-31.067,-36.438
0.002,-0.234,0.744,138.000,-19.409,-28.076
0.064,-0.333,0.818,125.122,-22.888,-18.372
0.083,-0.375,0.889,107.422,-32.593,-14.587
0.046,-0.335,0.972,97.534,-34.607,-22.644
-0.024,-0.463,0.937,96.741,-43.823,-26.794
-0.071,-0.542,0.888,98.999,-51.758,-30.029
-0.071,-0.499,0.859,106.262,-49.072,-38.574
-0.070,-0.563,0.710,121.887,-48.096,-47.913
-0.171,-0.485,0.539,137.329,-49.622,-59.387
-0.313,-0.318,0.417,142.822,-52.124,-60.364
-0.361,-0.473,0.263,137.878,-48.523,-51.331
-0.393,-0.545,0.255,126.221,-36.804,-47.546
-0.384,-0.518,0.336,114.868,-21.423,-46.814
-0.397,-0.499,0.314,120.178,-2.136,-44.983
-0.430,-0.475,0.345,132.874,15.442,-42.114
-0.422,-0.525,0.358,139.893,23.254,-33.569
-0.413,-0.546,0.370,141.541,32.104,-22.095
-0.559,-0.542,0.422,147.339,33.936,-12.695
-0.561,-0.684,0.342,158.936,29.114,-11.536
-0.420,-0.738,0.187,155.884,20.386,-28.625
-0.390,-0.658,0.224,144.409,0.488,-46.509
-0.490,-0.592,0.164,137.329,-16.663,-52.490
-0.520,-0.644,0.027,134.277,-23.376,-57.495
-0.617,-0.657,-0.200,135.071,-25.085,-59.692
-0.688,-0.587,-0.291,131.592,-27.283,-54.260
-0.737,-0.586,-0.485,132.996,-23.743,-45.776
-0.833,-0.536,-0.716,137.146,-20.813,-33.142
-1.102,-0.510,-0.573,150.818,-27.344,-13.000
-1.103,-0.666,-1.043,199.646,-35.522,36.560
-1.015,-0.486,-1.350,191.956,-22.156,87.463
-1.078,-0.504,-1.312,133.972,-27.466,115.479
-0.959,-0.485,-1.352,91.919,-39.978,137.146
-0.697,-0.303,-1.385,40.771,-45.654,131.592
-0.709,-0.475,-1.260,7.996,-50.598,98.206
-0.749,-0.461,-1.149,-9.583,-40.527,67.871
-0.671,-0.567,-0.951,-23.315,-18.738,44.983
-0.525,-0.716,-0.790,-36.987,4.089,31.372
-0.413,-0.784,-0.623,-54.016,19.104,28.625
-0.343,-0.736,-0.430,-73.181,27.588,26.062
-0.317,-0.754,-0.211,-78.491,32.471,23.071
-0.290,-0.783,-0.182,-71.594,36.621,23.743
-0.303,-0.826,-0.168,-64.819,27.222,27.893
-0.317,-0.898,-0.166,-58.228,9.949,32.532
-0.345,-0.912,-0.248,-55.054,-6.348,36.743
-0.421,-0.825,-0.299,-58.167,-24.780,34.180
-0.538,-0.757,-0.357,-68.726,-39.856,28.992
-0.589,-0.737,-0.413,-87.891,-53.162,23.437
-0.675,-0.755,-0.375,-106.750,-64.941,19.409
-0.664,-0.747,-0.424,-118.408,-65.002,19.226
-0.582,-0.716,-0.464,-129.272,-60.303,19.470
-0.501,-0.761,-0.457,-145.569,-55.908,15.625
-0.401,-0.760,-0.453,-160.522,-53.955,10.132
-0.299,-0.726,-0.409,-173.950,-55.115,1.221
-0.274,-0.718,-0.204,-183.411,-60.791,-11.658
-0.354,-0.753,-0.033,-178.101,-55.176,-19.409
-0.312,-0.417,-0.005,-164.978,-38.147,-10.559
-0.324,-0.127,0.052,-158.752,-31.372,3.235
-0.505,-0.218,0.021,-167.664,-35.706,7.385
-0.646,-0.201,-0.027,-176.331,-47.974,22.644
-0.626,-0.136,0.027,-192.322,-73.486,43.640
-0.666,-0.069,0.350,-213.745,-95.642,58.228
-0.582,-0.144,0.767,-216.980,-78.857,55.420
-0.221,-0.305,0.461,-215.393,-20.691,36.621
-0.057,-0.285,0.347,-217.834,-0.671,19.104
-0.030,-0.235,0.551,-221.191,-9.094,-7.141
-0.223,-0.250,0.834,-215.515,-8.972,-40.100
-0.573,-0.280,1.101,-203.369,9.033,-43.762
-0.341,-0.007,0.976,-197.998,60.730,-11.414
-0.093,0.261,0.996,-193.909,99.365,18.799
-0.377,0.262,0.946,-199.707,112.854,36.743
-0.382,0.136,1.195,-218.018,84.106,54.993
-0.118,0.186,1.361,-230.774,42.236,76.782
0.140,0.229,1.643,-252.625,13.733,95.459
0.269,0.107,1.902,-263.550,-9.766,94.543
0.314,-0.064,2.119,-245.117,-19.531,77.576
0.281,-0.117,2.162,-188.110,-14.465,53.040
0.229,-0.262,2.047,-119.385,3.052,29.114
0.276,-0.274,1.810,-61.401,12.817,10.010
0.271,-0.203,1.495,-23.376,9.521,-3.113
0.199,-0.164,1.370,-7.996,-7.446,-10.010
0.069,0.062,1.189,-6.897,-14.465,-10.620
-0.038,0.195,0.865,-31.189,2.258,0.549
