aX,aY,aZ,gX,gY,gZ
-0.525,-0.968,1.432,17.517,76.050,-25.391
-0.614,-1.170,1.336,19.226,93.201,-21.790
-0.694,-1.350,1.238,24.170,96.680,-11.841
-0.745,-1.452,1.140,29.114,90.637,4.639
-0.764,-1.587,1.044,31.372,82.947,26.367
-0.719,-1.646,0.953,27.954,77.209,45.227
-0.677,-1.638,0.846,19.104,71.899,62.622
-0.672,-1.566,0.711,6.165,65.613,82.458
-0.676,-1.442,0.613,-7.568,56.152,106.445
-0.641,-1.254,0.542,-17.578,45.105,133.179
-0.610,-1.043,0.490,-22.949,32.471,161.804
-0.549,-0.781,0.406,-26.428,22.888,189.697
-0.417,-0.375,0.269,-29.236,18.799,213.135
-0.299,0.189,0.114,-31.799,20.386,226.379
-0.278,0.653,0.039,-35.095,21.179,225.586
-0.229,1.010,0.024,-42.480,16.846,215.576
-0.123,1.275,0.027,-49.194,11.719,205.688
-0.108,1.465,0.042,-47.241,11.536,198.669
-0.192,1.607,0.030,-37.537,16.174,189.087
-0.208,1.696,-0.064,-29.907,25.635,180.237
-0.185,1.835,-0.111,-34.912,25.452,183.105
-0.001,2.116,0.008,-52.612,5.554,203.430
0.242,2.414,0.334,-76.965,-29.358,223.816
0.449,2.643,0.851,-102.966,-69.824,219.727
0.795,2.776,1.453,-119.507,-85.815,193.970
1.105,2.751,1.958,-114.990,-66.772,160.217
1.331,2.668,2.107,-88.135,-25.330,121.948
1.386,2.444,1.955,-41.443,23.987,81.543
1.225,2.109,1.614,7.385,53.711,38.330
1.002,1.791,1.274,45.288,56.519,-4.272
0.789,1.502,1.000,71.533,39.917,-36.743
0.537,1.249,0.819,87.708,11.169,-57.373
0.372,1.131,0.697,93.384,-17.029,-74.097
0.235,1.070,0.618,91.492,-36.377,-85.022
0.162,1.018,0.562,85.205,-43.518,-92.346
0.134,0.948,0.531,77.393,-35.339,-96.313
0.118,0.922,0.510,65.979,-20.752,-97.900
0.078,0.920,0.514,50.354,-8.179,-99.548
0.006,0.942,0.555,37.170,-1.343,-99.304
0.011,1.006,0.639,30.762,1.465,-95.459
0.078,1.039,0.737,32.654,1.709,-92.896
0.111,1.058,0.818,44.250,-2.563,-94.238
0.119,0.997,0.853,61.584,-8.362,-97.534
0.072,0.906,0.835,79.834,-9.705,-100.037
0.028,0.827,0.760,93.933,-6.042,-101.257
0.008,0.753,0.674,100.586,-1.892,-100.464
0.015,0.647,0.610,99.731,-1.526,-99.976
0.002,0.533,0.581,92.224,-5.188,-100.708
0.026,0.400,0.585,79.285,-11.292,-102.295
0.035,0.245,0.573,61.890,-14.709,-103.394
0.044,0.066,0.559,42.542,-17.151,-104.736
0.056,-0.108,0.569,24.719,-23.376,-105.774
0.055,-0.237,0.595,10.742,-32.471,-103.760
0.002,-0.286,0.664,1.343,-42.786,-97.168
-0.058,-0.316,0.779,-3.662,-54.626,-87.036
-0.101,-0.372,0.863,-2.686,-62.073,-76.172
-0.158,-0.374,0.921,0.732,-66.040,-65.063
-0.211,-0.336,0.979,0.854,-71.594,-53.711
-0.264,-0.290,1.065,-3.662,-74.036,-41.809
-0.250,-0.298,1.138,-13.062,-67.505,-30.640
-0.187,-0.331,1.180,-23.499,-49.194,-21.667
-0.121,-0.366,1.231,-32.654,-25.696,-21.790
-0.106,-0.406,1.236,-37.170,0.366,-31.006
-0.123,-0.470,1.216,-33.936,25.513,-43.457
-0.175,-0.514,1.195,-24.780,46.448,-51.636
-0.179,-0.594,1.177,-15.869,56.030,-55.969
-0.203,-0.661,1.166,-11.536,54.993,-60.974
-0.265,-0.682,1.163,-9.705,48.828,-65.186
-0.326,-0.716,1.182,-5.493,43.884,-64.026
-0.369,-0.763,1.191,-0.671,40.588,-56.030
-0.392,-0.810,1.173,1.526,38.147,-46.997
-0.413,-0.849,1.151,1.343,36.377,-39.490
-0.422,-0.847,1.121,-0.183,36.072,-30.823
-0.404,-0.836,1.083,-3.052,37.109,-20.264
-0.364,-0.783,1.037,-7.080,38.635,-8.118
-0.291,-0.732,1.001,-12.207,38.635,2.808
-0.209,-0.667,0.971,-17.456,36.499,13.916
-0.124,-0.554,0.954,-23.010,30.396,24.902
